method_is_get,method_is_post,uri_length,uri_depth,has_query,query_length,special_char_count,digit_ratio,url_encoded_count,has_double_encoding,path_traversal_count,has_sensitive_file,has_cmd_keyword,has_sql_keyword,is_binary_request,status_code,is_4xx,is_5xx,user_agent_length,is_empty_user_agent,is_bot_user_agent,ip,timestamp,size,referrer
1,0,22,2,1,15,3,0.0,0,0,0,0,1,1,0,200,0,0,157,0,0,39.144.100.52,08/Mar/2026:11:30:32 +0000,1561,-
1,0,25,2,0,0,3,0.0,0,0,0,0,0,1,0,200,0,0,157,0,0,39.144.100.52,08/Mar/2026:11:30:34 +0000,1554457,https://jcw.directionclock.top/login?redirect=/index
1,0,26,2,0,0,3,0.11538461538461539,0,0,0,0,0,1,0,200,0,0,157,0,0,39.144.100.52,08/Mar/2026:11:30:38 +0000,372486,https://jcw.directionclock.top/login?redirect=/index
1,0,26,2,0,0,3,0.038461538461538464,0,0,0,0,0,1,0,200,0,0,157,0,0,39.144.100.52,08/Mar/2026:11:30:38 +0000,989,https://jcw.directionclock.top/login?redirect=/index
1,0,25,2,0,0,3,0.04,0,0,0,0,0,1,0,200,0,0,157,0,0,39.144.100.52,08/Mar/2026:11:30:38 +0000,61919,-
1,0,37,2,0,0,3,0.02702702702702703,0,0,0,0,0,1,0,200,0,0,157,0,0,39.144.100.52,08/Mar/2026:11:30:38 +0000,339427,https://jcw.directionclock.top/assets/login-DTBGlT4R.css
1,0,22,2,0,0,2,0.0,0,0,0,1,0,0,0,200,0,0,157,0,0,39.144.100.52,08/Mar/2026:11:30:39 +0000,3876,https://jcw.directionclock.top/login?redirect=/index
0,1,15,2,0,0,2,0.0,0,0,0,1,0,1,0,200,0,0,157,0,0,39.144.100.52,08/Mar/2026:11:30:47 +0000,258,https://jcw.directionclock.top/login?redirect=/index
1,0,17,2,0,0,2,0.0,0,0,0,1,0,1,0,200,0,0,157,0,0,39.144.100.52,08/Mar/2026:11:30:48 +0000,1363,https://jcw.directionclock.top/login?redirect=/index
1,0,20,2,0,0,2,0.0,0,0,0,1,0,0,0,200,0,0,157,0,0,39.144.100.52,08/Mar/2026:11:30:48 +0000,4951,https://jcw.directionclock.top/login?redirect=/index
1,0,25,2,0,0,3,0.08,0,0,0,0,0,1,0,200,0,0,157,0,0,39.144.100.52,08/Mar/2026:11:30:48 +0000,48914,-
1,0,26,2,0,0,3,0.0,0,0,0,0,0,1,0,200,0,0,157,0,0,39.144.100.52,08/Mar/2026:11:30:48 +0000,871,https://jcw.directionclock.top/login?redirect=/index
1,0,28,2,0,0,3,0.0,0,0,0,0,0,0,0,200,0,0,157,0,0,39.144.100.52,08/Mar/2026:11:30:48 +0000,81131,https://jcw.directionclock.top/index
1,0,24,2,0,0,3,0.041666666666666664,0,0,0,0,0,0,0,200,0,0,157,0,0,39.144.100.52,08/Mar/2026:11:30:49 +0000,140720,https://jcw.directionclock.top/index
1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,404,1,0,100,0,0,66.240.219.146,08/Mar/2026:11:38:41 +0000,571,-
1,0,11,1,0,0,2,0.0,0,0,0,1,0,0,0,404,1,0,1,0,0,66.240.219.146,08/Mar/2026:11:38:41 +0000,169,-
1,0,12,1,0,0,2,0.0,0,0,0,1,0,0,0,404,1,0,1,0,0,66.240.219.146,08/Mar/2026:11:38:42 +0000,169,-
1,0,25,2,0,0,4,0.0,0,0,0,0,0,0,0,404,1,0,1,0,0,66.240.219.146,08/Mar/2026:11:38:44 +0000,169,-
1,0,12,1,0,0,2,0.0,0,0,0,0,0,0,0,404,1,0,115,0,0,66.240.219.146,08/Mar/2026:11:38:48 +0000,201,-
1,0,11,1,0,0,2,0.0,0,0,0,1,0,0,0,200,0,0,103,0,1,216.73.216.118,08/Mar/2026:11:55:06 +0000,1561,-
1,0,12,1,0,0,2,0.0,0,0,0,1,0,0,0,200,0,0,103,0,1,216.73.216.118,08/Mar/2026:11:55:07 +0000,1561,-
1,0,5,1,0,0,1,0.2,0,0,0,0,0,0,0,200,0,0,1,0,0,185.12.59.118,08/Mar/2026:11:56:40 +0000,5408,-
1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,404,1,0,139,0,0,43.130.34.74,08/Mar/2026:12:00:22 +0000,143,-
1,0,11,1,0,0,2,0.0,0,0,0,1,0,0,0,404,1,0,4,0,0,187.17.224.139,08/Mar/2026:12:23:13 +0000,169,-
0,0,104,0,0,0,4,0.25961538461538464,0,0,0,0,0,0,1,400,1,0,1,0,0,93.174.93.12,08/Mar/2026:12:41:01 +0000,173,-
1,0,86,0,0,0,1,0.36046511627906974,0,0,0,0,0,0,1,400,1,0,1,0,0,185.242.226.15,08/Mar/2026:12:55:34 +0000,173,-
