method_is_get,method_is_post,uri_length,uri_depth,has_query,query_length,special_char_count,digit_ratio,url_encoded_count,has_double_encoding,path_traversal_count,has_sensitive_file,has_cmd_keyword,has_sql_keyword,is_binary_request,status_code,is_4xx,is_5xx,user_agent_length,is_empty_user_agent,is_bot_user_agent,ip,timestamp,size,referrer,anomaly,anomaly_score
1,0,22,2,1,15,3,0.0,0,0,0,0,1,1,0,200,0,0,157,0,0,39.144.100.52,08/Mar/2026:11:30:32 +0000,1561,-,1,-0.6383746563357755
1,0,25,2,0,0,3,0.0,0,0,0,0,0,1,0,200,0,0,157,0,0,39.144.100.52,08/Mar/2026:11:30:34 +0000,1554457,https://jcw.directionclock.top/login?redirect=/index,1,-0.5869469748064928
1,0,26,2,0,0,3,0.1153846153846153,0,0,0,0,0,1,0,200,0,0,157,0,0,39.144.100.52,08/Mar/2026:11:30:38 +0000,372486,https://jcw.directionclock.top/login?redirect=/index,1,-0.5899535192922827
1,0,26,2,0,0,3,0.0384615384615384,0,0,0,0,0,1,0,200,0,0,157,0,0,39.144.100.52,08/Mar/2026:11:30:38 +0000,989,https://jcw.directionclock.top/login?redirect=/index,1,-0.5618078137896327
1,0,25,2,0,0,3,0.04,0,0,0,0,0,1,0,200,0,0,157,0,0,39.144.100.52,08/Mar/2026:11:30:38 +0000,61919,-,1,-0.5710299267000976
1,0,37,2,0,0,3,0.027027027027027,0,0,0,0,0,1,0,200,0,0,157,0,0,39.144.100.52,08/Mar/2026:11:30:38 +0000,339427,https://jcw.directionclock.top/assets/login-DTBGlT4R.css,1,-0.5800927164278314
1,0,22,2,0,0,2,0.0,0,0,0,1,0,0,0,200,0,0,157,0,0,39.144.100.52,08/Mar/2026:11:30:39 +0000,3876,https://jcw.directionclock.top/login?redirect=/index,1,-0.6341245357182913
0,1,15,2,0,0,2,0.0,0,0,0,1,0,1,0,200,0,0,157,0,0,39.144.100.52,08/Mar/2026:11:30:47 +0000,258,https://jcw.directionclock.top/login?redirect=/index,1,-0.6502103669520336
1,0,17,2,0,0,2,0.0,0,0,0,1,0,1,0,200,0,0,157,0,0,39.144.100.52,08/Mar/2026:11:30:48 +0000,1363,https://jcw.directionclock.top/login?redirect=/index,1,-0.6773394826763115
1,0,20,2,0,0,2,0.0,0,0,0,1,0,0,0,200,0,0,157,0,0,39.144.100.52,08/Mar/2026:11:30:48 +0000,4951,https://jcw.directionclock.top/login?redirect=/index,1,-0.6461142337552603
1,0,25,2,0,0,3,0.08,0,0,0,0,0,1,0,200,0,0,157,0,0,39.144.100.52,08/Mar/2026:11:30:48 +0000,48914,-,1,-0.5818432523995963
1,0,26,2,0,0,3,0.0,0,0,0,0,0,1,0,200,0,0,157,0,0,39.144.100.52,08/Mar/2026:11:30:48 +0000,871,https://jcw.directionclock.top/login?redirect=/index,1,-0.5844204261257587
1,0,28,2,0,0,3,0.0,0,0,0,0,0,0,0,200,0,0,157,0,0,39.144.100.52,08/Mar/2026:11:30:48 +0000,81131,https://jcw.directionclock.top/index,0,-0.5094543797403926
1,0,24,2,0,0,3,0.0416666666666666,0,0,0,0,0,0,0,200,0,0,157,0,0,39.144.100.52,08/Mar/2026:11:30:49 +0000,140720,https://jcw.directionclock.top/index,0,-0.4936907337012103
1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,404,1,0,100,0,0,66.240.219.146,08/Mar/2026:11:38:41 +0000,571,-,1,-0.6622650014695952
1,0,11,1,0,0,2,0.0,0,0,0,1,0,0,0,404,1,0,1,0,0,66.240.219.146,08/Mar/2026:11:38:41 +0000,169,-,1,-0.681986682694281
1,0,12,1,0,0,2,0.0,0,0,0,1,0,0,0,404,1,0,1,0,0,66.240.219.146,08/Mar/2026:11:38:42 +0000,169,-,1,-0.681986682694281
1,0,25,2,0,0,4,0.0,0,0,0,0,0,0,0,404,1,0,1,0,0,66.240.219.146,08/Mar/2026:11:38:44 +0000,169,-,0,-0.4488079650289284
1,0,12,1,0,0,2,0.0,0,0,0,0,0,0,0,404,1,0,115,0,0,66.240.219.146,08/Mar/2026:11:38:48 +0000,201,-,1,-0.6280694035727004
1,0,11,1,0,0,2,0.0,0,0,0,1,0,0,0,200,0,0,103,0,1,216.73.216.118,08/Mar/2026:11:55:06 +0000,1561,-,1,-0.681986682694281
1,0,12,1,0,0,2,0.0,0,0,0,1,0,0,0,200,0,0,103,0,1,216.73.216.118,08/Mar/2026:11:55:07 +0000,1561,-,1,-0.681986682694281
1,0,5,1,0,0,1,0.2,0,0,0,0,0,0,0,200,0,0,1,0,0,185.12.59.118,08/Mar/2026:11:56:40 +0000,5408,-,1,-0.6714740756989608
1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,404,1,0,139,0,0,43.130.34.74,08/Mar/2026:12:00:22 +0000,143,-,1,-0.6622650014695952
1,0,11,1,0,0,2,0.0,0,0,0,1,0,0,0,404,1,0,4,0,0,187.17.224.139,08/Mar/2026:12:23:13 +0000,169,-,1,-0.681986682694281
0,0,104,0,0,0,4,0.2596153846153846,0,0,0,0,0,0,1,400,1,0,1,0,0,93.174.93.12,08/Mar/2026:12:41:01 +0000,173,-,1,-0.6764657891664855
1,0,86,0,0,0,1,0.3604651162790697,0,0,0,0,0,0,1,400,1,0,1,0,0,185.242.226.15,08/Mar/2026:12:55:34 +0000,173,-,1,-0.6900828919550579
1,0,11,1,0,0,2,0.0,0,0,0,1,0,0,0,404,1,0,45,0,1,187.17.224.139,08/Mar/2026:12:58:11 +0000,143,-,1,-0.681986682694281
0,0,52,0,0,0,0,0.3076923076923077,0,0,0,0,0,0,1,400,1,0,1,0,0,187.17.224.139,08/Mar/2026:12:58:13 +0000,173,-,1,-0.7096424845059516
